digit,mse_vae,psnr_vae,mse_decoder,psnr_decoder
0,0.0,inf,0.009200826,20.361731151501846
1,0.0,inf,0.002474031,26.065948273745107
2,0.0,inf,0.012346449,19.0845788987386
3,0.0,inf,0.010567936,19.76009792122693
4,0.0,inf,0.009248423,20.33932298936591
5,0.0,inf,0.011265469,19.482507089079586
6,0.0,inf,0.008162435,20.881802971627774
7,0.0,inf,0.0069001787,21.61139669061765
8,0.0,inf,0.013120252,18.820578539352216
9,0.0,inf,0.0075104525,21.243339194413643
