digit,mse_vae,psnr_vae,mse_decoder,psnr_decoder
0,0.0,inf,0.011748164,19.30029958361657
1,0.0,inf,0.003418396,24.661776218424144
2,0.0,inf,0.018454392,17.33900278800438
3,0.0,inf,0.016076805,17.938002249933028
4,0.0,inf,0.012989597,18.864042776502178
5,0.0,inf,0.01740642,17.592905180562116
6,0.0,inf,0.011747165,19.30066903028529
7,0.0,inf,0.009602208,20.176288610191172
8,0.0,inf,0.019631796,17.070399319854083
9,0.0,inf,0.01124754,19.489424330440603
